practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,cara,corrAns,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,date,frameRate,expName,session,participant,
,,,,,,right,1.43264739786,,,2016_Nov_22_2200,59.9990762796,stroop,01,erick,
,,,,,,,,right,2.56677494862,2016_Nov_22_2200,59.9990762796,stroop,01,erick,
