cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,2.41673418257,,,,,,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
,,,,,,,,,,,,right,1.31683861563,,,,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,0,0,0,1,,,,,,,,,v,1,2.55011312512,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,0,1,1,0,,,,,,,,,m,1,0.366876687447,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,1,0,2,0,,,,,,,,,v,0,0.25021152827,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,1,1,3,1,,,,,,,,,m,0,1.65023481403,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
,,,,,,,,,,,,,,,,,m,0.450151485682,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
,,,,,,,,,,,,,,,,,,,v,0.433487417002,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,0,0,0,0,,,,,v,0,0.9168025002,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,0,1,1,1,,,,,v,1,0.500169992447,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,1,0,2,1,,,,,v,1,0.650196004426,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,1,1,3,0,,,,,v,0,0.583547106828,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,2,0,4,0,,,,,m,1,0.250222433475,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,2,1,5,1,,,,,v,1,0.649866924796,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,3,0,6,0,,,,,v,0,0.600141574861,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,3,1,7,1,,,,,m,0,0.316899235535,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,4,0,8,0,,,,,v,0,0.35022769362,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,4,1,9,1,,,,,m,0,0.966851477278,,,,,2016_Nov_22_2314,59.9894943838,sidget,01,erick,
