cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,0.367094470246,,,,,,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
,,,,,,,,,,,,right,0.466904078785,,,,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,0,0,0,0,,,,,,,,,v,0,0.416895835719,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,0,1,1,1,,,,,,,,,v,1,0.250287543808,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,1,0,2,0,,,,,,,,,v,0,0.233479783405,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,1,1,3,1,,,,,,,,,v,1,0.216947859793,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
,,,,,,,,,,,,,,,,,v,0.533567730454,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
,,,,,,,,,,,,,,,,,,,v,0.466849232151,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,0,0,0,0,,,,,m,1,0.816856577061,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,0,1,1,1,,,,,m,0,0.283528760483,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,1,0,2,0,,,,,v,0,0.233477217495,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,1,1,3,1,,,,,v,1,0.0835961800767,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,2,0,4,0,,,,,v,0,0.366869951948,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,2,1,5,1,,,,,m,0,0.266867578437,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,3,0,6,0,,,,,v,0,0.233572798141,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,3,1,7,1,,,,,m,0,0.233500310802,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,4,0,8,0,,,,,v,0,0.266881370277,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,4,1,9,1,,,,,v,1,0.250211207545,,,,,2016_Nov_22_2248,60.0668140007,stroop,01,erick,
