cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,1.03346573497,,,,,,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
,,,,,,,,,,,,right,6.23330177244,,,,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,0,0,0,1,,,,,,,,,m,0,1.00015042728,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,0,1,1,0,,,,,,,,,v,0,0.716801281378,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,1,0,2,1,,,,,,,,,v,1,0.650176760042,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,1,1,3,0,,,,,,,,,m,1,0.266879766597,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
,,,,,,,,,,,,,,,,,v,0.266852182918,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
,,,,,,,,,,,,,,,,,,,m,0.366886951146,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,0,0,0,1,,,,,v,1,0.350187601056,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,0,1,1,0,,,,,m,1,0.200164475653,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,1,0,2,0,,,,,v,0,0.250199340167,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,1,1,3,1,,,,,m,0,0.266832938476,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,2,0,4,1,,,,,m,0,0.300247675739,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,2,1,5,0,,,,,m,1,0.266882974014,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,3,0,6,0,,,,,m,1,0.266879445873,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,3,1,7,1,,,,,m,0,0.200205851172,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/short_mouth.bmp,m,,,,,4,0,8,0,,,,,v,0,0.233547780372,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
caras/long_mouth.bmp,v,,,,,4,1,9,1,,,,,m,0,0.150293830317,,,,,2016_Nov_22_2312,60.006235834,sidget,01,erick,
