cara,corrAns,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ready1.keys,ready1.rt,resp.keys,resp.corr,resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,right,1.86676988099,,,,,,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
,,,,,,,,,,,,right,5.76680888294,,,,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,0,0,0,1,,,,,,,,,v,1,2.21679262142,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,0,1,1,0,,,,,,,,,m,1,2.3168062208,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,1,0,2,0,,,,,,,,,v,0,0.750153474335,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,1,1,3,1,,,,,,,,,m,0,2.45026887668,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
,,,,,,,,,,,,,,,,,m,3.2834780835,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
,,,,,,,,,,,,,,,,,,,m,2.85058018734,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,0,0,0,0,,,,,v,0,0.716891088756,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,0,1,1,1,,,,,m,0,0.283641981834,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,1,0,2,0,,,,,m,1,0.216840732493,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,1,1,3,1,,,,,m,0,0.400194881891,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,2,0,4,1,,,,,v,1,0.250217301596,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,2,1,5,0,,,,,m,1,0.233541044814,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,3,0,6,1,,,,,m,0,0.700206813402,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,3,1,7,0,,,,,v,0,0.233518913737,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/short_mouth.bmp,m,,,,,4,0,8,0,,,,,m,1,0.216843619186,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
caras/long_mouth.bmp,v,,,,,4,1,9,1,,,,,v,1,0.23349325452,,,,,2016_Nov_22_2218,60.0810513823,stroop,01,erick,
