trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,corAns,Stim,Feedback,End.keys,End.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,right,0.630439642526,,,,,2016_Oct_31_2202,60.1468278957,SIGDET,001,dgsdfh]\,
,,,,,,,,,right,0.916879718701,,,2016_Oct_31_2202,60.1468278957,SIGDET,001,dgsdfh]\,
,,,,,,,,,,,v,7.2496844713,2016_Oct_31_2202,60.1468278957,SIGDET,001,dgsdfh]\,
